Section,Metric,Value,Unit,Status,Source,Notes
D. Marginal cost & contribution at $750,Buy-Kit marginal (incl. long-haul freight),684.79,AUD/bed,modelled,03-cost-model sec C,Direct $534.79 + $150 long-haul.
D. Marginal cost & contribution at $750,Factory marginal,425.74,AUD/bed,modelled,03-cost-model sec C,$275.74 + $150 freight.
D. Marginal cost & contribution at $750,Community marginal,420.74,AUD/bed,modelled,03-cost-model sec C,$270.74 + $150 freight.
D. Marginal cost & contribution at $750,Contribution/bed - Buy-Kit,65.21,AUD/bed,modelled,derived $750-$684.79,Too thin to cover fixed block at realistic volume.
D. Marginal cost & contribution at $750,Contribution/bed - Factory,324.26,AUD/bed,modelled,derived,
D. Marginal cost & contribution at $750,Contribution/bed - Community,329.26,AUD/bed,modelled,derived,
D. Marginal cost & contribution at $750,Break-even - Buy-Kit,1679,beds/yr,derived,109500 / 65.21,
D. Marginal cost & contribution at $750,Break-even - Factory,338,beds/yr,derived,109500 / 324.26,
D. Marginal cost & contribution at $750,Break-even - Community,333,beds/yr,derived,109500 / 329.26,
D1. Idiot index (markup capture),First-principles bed floor (raw rates),128.99,AUD/bed,modelled,03-cost-model sec B,"Aspirational only, not achievable today."
D1. Idiot index (markup capture),Supply-chain markup in Buy-Kit direct,340.80,AUD/bed,modelled,$469.79 - $128.99,$289.05 of it sits in the HDPE kit alone.
D1. Idiot index (markup capture),HDPE idiot index (kit vs shred floor),8.6x,ratio,modelled,$344.05 / $40,In-house legs saving $194.05/bed. The whole capital case.
D1. Idiot index (markup capture),In-house legs saving per bed,194.05,AUD/bed,modelled,kit $344.05 - in-house $150,The containerisation prize (materials level).
E. Central factory capex (to reach Factory path),Shredder,15000-30000,AUD,modelled,03-cost-model sec D; equipment not firm-quoted,"Matt Inputs default midpoint $22,500."
E. Central factory capex (to reach Factory path),Hot press line,80000-150000,AUD,modelled,03-cost-model sec D,"Matt default $115,000."
E. Central factory capex (to reach Factory path),CNC router,15000-40000,AUD,modelled,03-cost-model sec D,"Matt default $27,500."
E. Central factory capex (to reach Factory path),Benches & tooling,2000,AUD,modelled,03-cost-model sec D,
E. Central factory capex (to reach Factory path),Central factory capex GROSS (low-high),112000-222000,AUD,modelled,03-cost-model sec D,Equipment midpoints; NOT firm-quoted.
"E1. Sunk vs replication (MVF reconciliation, 2026-07-22)","Evidenced sunk hardware (Nic, used deals)",~75000,AUD,evidenced,"connected sole-trader Xero, bill-level, 2026-07-22",Cleanly tagged ~$43.7K + ambiguous ~$12.5K + shredder $19.8K (physical only).
"E1. Sunk vs replication (MVF reconciliation, 2026-07-22)",New community-site replication (market rates),90800-123000 (mid ~105000),AUD,mixed,MVF model 2026-07-22,Higher than sunk: Nic bought used. Use this for the funder ask.
"E1. Sunk vs replication (MVF reconciliation, 2026-07-22)","SUPERSEDED: '$110,046 invested' working note",110046,AUD,superseded,earlier cost model,"Ben's total-sunk-spend shorthand, NOT an evidenced building. Do not quote forward. Replaced by ~$75K sunk / ~$105K replication."
"E1. Sunk vs replication (MVF reconciliation, 2026-07-22)",Shredder (Telford Smith),19800,AUD,physical only,no Xero record found,"Physically confirmed by Ben; invoice to locate. 'Owned, invoice to locate.'"
"E1. Sunk vs replication (MVF reconciliation, 2026-07-22)",Press+cold press+CNC (Circularity INV-0054),32780,AUD inc GST,evidenced,Xero INV-0054 2025-12-17 ACT-GD,
"E1. Sunk vs replication (MVF reconciliation, 2026-07-22)",Bigger CNC router (recent),to confirm,AUD,open,MVF sec 4b; recently bought,"Entity (sole trader or Pty Ltd?) + amount to confirm. Only ~$5,135 install booked."
E2. 40ft container workshop capex (Matt desktop research 2026-07-22),Container shell & fit-out (Subtotal A),13950,AUD,web-sourced/allowance,Matt Capex Estimates sheet,"New one-trip 40ft $6,800 + roller door $5,650 + vent/misc $1,500 (allowance)."
E2. 40ft container workshop capex (Matt desktop research 2026-07-22),Electrical & safety (Subtotal B),18500,AUD,web-sourced/allowance,Matt Capex Estimates sheet,"3-phase $5,500 + safety $1,000 + 30kVA genset $12,000 (INCLUDED per Ben 2026-07-22)."
E2. 40ft container workshop capex (Matt desktop research 2026-07-22),"Freight to site, 2500km (Subtotal C)",5000,AUD,derived/allowance,Matt Capex Estimates sheet,"Linehaul $3,600 + remote final leg $1,400 (allowance)."
E2. 40ft container workshop capex (Matt desktop research 2026-07-22),Installation & training per site (Subtotal D),3000,AUD,user input,"Matt, 2026-07-22","In-house. External Defy benchmark $6,000/session not used."
E2. 40ft container workshop capex (Matt desktop research 2026-07-22),Matt 4-line container estimate total,40450,AUD,modelled,Matt Capex Estimates sheet,"Desktop estimates, NOT quotes. Firm quotes required before QBE/investor use."
E2. 40ft container workshop capex (Matt desktop research 2026-07-22),Matt total facility build cost (Inputs B27),207450,AUD,modelled,Matt Inputs sheet,"Equipment midpoints $167K + container fit-out $40,450. Charged in full in build year."
F. Fixed annual operating block,Founder production time (30 days x $560),16800,AUD/yr,locked,Ben 2026-05-29,Only production days touch unit cost.
F. Fixed annual operating block,"Kirmos facility (Sunshine Coast, 50% to beds)",27000,AUD/yr,verified,full-cost-figures; GoC Q&A Q1 confirms,"$2,250/mo at 50%."
F. Fixed annual operating block,Admin,14700,AUD/yr,verified,v6 fixed block; GoC Q&A Q1 confirms,
F. Fixed annual operating block,Field travel,51000,AUD/yr,verified,v6 fixed block; GoC Q&A Q1 confirms,
F. Fixed annual operating block,"Total fixed block (Sydney, rent $0)",109500,AUD/yr,verified,GoC Q&A Q1 confirms breakdown exactly,
F. Fixed annual operating block,Equipment maintenance (5% of equip subtotal),8350,AUD/facility/yr,placeholder,GoC Q&A Q9; Matt selected 5% 2026-07-22,3-5% pending vendor quotes. Scales per facility in projection.
F1. Rent by location (alternative),Sydney / Defy,0,AUD/yr,modelled,full-cost-figures,Inbound freight $0/bed.
F1. Rent by location (alternative),Sunshine Coast (Kirmos),54000,AUD/yr,modelled,full-cost-figures,Inbound freight $30/bed.
F1. Rent by location (alternative),On Country,24000,AUD/yr,modelled,engine LOCATIONS.on_country.rentPerYear,RENT ONLY - not a full site fixed block. See section G.
F2. Founder time (full basis),Founder day rate,560,AUD/day,locked,Ben 2026-05-29,"Fair-market $140K/yr basis. Supersedes old $1,000/day."
F2. Founder time (full basis),Goods founder cost (150 days),84000,AUD/yr,locked,Ben 2026-05-29,30 prod / 50 fundraising / 25 commercialisation / 45 governance. Only 30d ($16.8K) in unit cost.
F2. Founder time (full basis),Non-production founder time (excluded from unit cost),67200,AUD/yr,locked,Ben 2026-05-29,"Cost-of-capital + customer acquisition, not unit cost. Sensitivity, not headline."
G. Community facility operating model (from Oonchiumpa DEWR app),DEWR total over 3 years,1995000,AUD/3yr,as-written,Oonchiumpa REAL Innovation Fund Stage Two app,Real costed community facility. NOTE: app's own totals don't reconcile (see open items).
G. Community facility operating model (from Oonchiumpa DEWR app),Bare facility subtotal (no staff),151666,AUD/yr,derived,DEWR lines: rent $60K + insurance $40K + admin $33.3K + upkeep $18.3K,The real fixed block the cost model was missing.
G. Community facility operating model (from Oonchiumpa DEWR app),Fully staffed facility,341666,AUD/yr,derived,bare + manager $150K + trainer/WHS ~$40K,Manager could be $90K coordinator (assumption).
G. Community facility operating model (from Oonchiumpa DEWR app),Employment program (brokerage/wages),300000,AUD/yr,as-written,DEWR app,GRANT money. Never carried by bed sales. Jobs-are-the-dividend.
G. Community facility operating model (from Oonchiumpa DEWR app),Cost model 'site bill' (rent only),24000,AUD/yr,flagged,ask-surface.ts:205,OUT BY ~15x vs real facility cost. Needs correcting on live surface.
G1. Community-path break-even by facility bill,"@ $24,000 (old rent-only)",73,beds/yr,derived,contribution $329.26,Misleadingly low.
G1. Community-path break-even by facility bill,"@ $60,000 (rent+utilities)",182,beds/yr,derived,,
G1. Community-path break-even by facility bill,"@ $151,666 (bare facility)",461,beds/yr,derived,,
G1. Community-path break-even by facility bill,"@ $341,666 (staffed facility)",1038,beds/yr,derived,,Achievable only at ~30 beds/week capacity.
G2. Per-site capacity (THREE sources disagree - unresolved),volume_ramp_v6 per_site_capacity,250,beds/yr,inferred,cost-model-scenarios.json (flagged assumption),At 250/yr a site can't cover even bare facility.
G2. Per-site capacity (THREE sources disagree - unresolved),Cost model throughput (5 beds/day x 250),1250,beds/yr,modelled,03-cost-model,
G2. Per-site capacity (THREE sources disagree - unresolved),DEWR app '~30 beds/week',~1500,beds/yr,as-written,Oonchiumpa DEWR app,The 40-bed Maningrida run is a real throughput reference; a measured run confirms the sustained per-site rate.
"H. Historical financials (Goods carve-out, workpaper)",Revenue - site figure,741111,AUD,workpaper,current canon (memory/MEMORY.md),"Superseded 04-doc's $732,210.79 billed."
"H. Historical financials (Goods carve-out, workpaper)",Revenue - accountant-signed Goods-only carve-out,713827,AUD,accountant-signed,current canon,"The ONLY externally-quotable revenue figure. Never quote the $403,901 'surplus' (entity P&L is a net loss)."
"H. Historical financials (Goods carve-out, workpaper)",Accounts receivable (AR),143000,AUD,workpaper,current canon,"(04-doc earlier showed $82,500 Rotary; updated figure $143K.)"
"H. Historical financials (Goods carve-out, workpaper)",ACCREC paid (received),649710.79,AUD,verified,"ACT-infra Xero, ACT-GD, 2026-05-29",Cash-received signal.
"H. Historical financials (Goods carve-out, workpaper)",Goods expenses (single cash basis),309126,AUD,verified,"ACT-GD bank spend less 1300-Washer reclass, 2026-05-29","AP genuinely ~$0 owed (matching gap, not debt)."
"H. Historical financials (Goods carve-out, workpaper)",Operating surplus before founder time,340585,AUD,derived,"$649,710.79 - $309,126",Model does NOT only work because founders unpaid.
"H. Historical financials (Goods carve-out, workpaper)",Grant-funded share of revenue,~89%,%,verified,Day-5 revenue mix,Grant-funded social enterprise building toward commercial sustainability.
"H. Historical financials (Goods carve-out, workpaper)",Top revenue - The Snow Foundation,402929.79,AUD,verified,Xero paid contacts,
"H. Historical financials (Goods carve-out, workpaper)",Top revenue - Centrecorp Foundation,123332,AUD,verified,Xero paid contacts,
"H. Historical financials (Goods carve-out, workpaper)",Top revenue - Vincent Fairfax Family Foundation,50000,AUD,verified,Xero paid contacts,
"H. Historical financials (Goods carve-out, workpaper)",GST net payable (rough signal),~29657,AUD,unverified,Xero total_tax 2026-05-29,Rough only; grants may be GST-free. Accountant confirms BAS.
I. Capital stack (base case - PLACEHOLDERS),QBE program,up to 400000,AUD,placeholder,04-verified-financials; QBE Stage 2 terms,At-least-matched by signed external capital; repayable preferred. App Sept->Nov 2026.
I. Capital stack (base case - PLACEHOLDERS),SEFA,300000,AUD,placeholder,04-verified-financials,First lender target; ownership-gate-free.
I. Capital stack (base case - PLACEHOLDERS),Anchor philanthropy,500000,AUD,placeholder,04-verified-financials,
I. Capital stack (base case - PLACEHOLDERS),Matt model capital stack (illustrative),600000,AUD,placeholder,Matt Inputs block 5,QBE match-eligible $250K + match $250K + other $100K. Split needs confirming with Ben/QBE.
I. Capital stack (base case - PLACEHOLDERS),Signed match-eligible capital to date,0,AUD,verified,funding pipeline 2026-07-23,0 open Goods-eligible grants; 51% First Nations ownership is the biggest unlock.
J. Entity & legal,Trades today (sole trader),Nicholas Marchesi ABN 21 591 780 066,-,verified,ASIC/ABN 2026-05-29,All historical Goods activity in the connected sole trader.
J. Entity & legal,Go-forward operating company,A Curious Tractor Pty Ltd ACN 697 347 676 t/a Goods,-,verified,ASIC 2026-05-29,Migrates FY2026-27. Pty Ltd Xero not yet connected/populated.
J. Entity & legal,Charity / DGR home,The Butterfly Movement Ltd ABN 22 155 132 684,-,verified,ABN Lookup 2026-05-06,DGR ONLY via Butterfly. From FY2026-27.
K. Open items requiring a decision,HDPE shred qty & rate,$55 (20kg@$2.75) vs Q&A $1-2/kg x 25kg,-,open,GoC Q&A Q10,Inconsistent qty AND rate. Reconcile before investor use. Swings Factory/Community cost.
K. Open items requiring a decision,Site capex figure,"$30,000 vs $100-150K",-,open,cost model conflict,$30K = increment on central factory; $100-150K = site from scratch. Decides if a community can buy in.
K. Open items requiring a decision,Per-site capacity,"250 vs 1,250 vs 1,500 beds/yr",-,open,3 sources disagree,Decides whether community ownership is viable at all. A real 40-bed in-house run exists (Maningrida); a measured run confirms the sustained per-site rate.
K. Open items requiring a decision,Site manager cost,"$150,000 vs $90,000 coordinator",-,open,community-facility-operating-model,Moves break-even ~180 beds.
K. Open items requiring a decision,Capital ask net vs gross,$112-222K gross vs ~$2-112K net,-,open,04-verified-financials sec 4,Never quote '$90-200K'. Pick gross or net.
K. Open items requiring a decision,Capital stack split,eligible/match/other unconfirmed,-,open,Matt Inputs block 5,Confirm with Ben + QBE program terms.
K. Open items requiring a decision,Measured cost/time run,40 beds ALREADY made in-house,-,open,Maningrida INV-0303,NOT 'zero beds': the Factory process is proven (40 beds pressed+assembled at the farm). Residual = capture per-bed actuals (time/diesel/yield) to lock $425.74 as MEASURED not modelled. Separate: on-country community production still to be done.
K. Open items requiring a decision,Shredder & 40ft container invoices,"physical, not in connected Xero",-,open,MVF sec 5,"Locate or note formally as 'owned, invoice to locate'."
K. Open items requiring a decision,Ownership handover,"'$110,046 invested' not GoC-owned",-,open,GoC Q&A Q12,Funded $80K TFN + $20K ACT; handover targeted end-Aug 2026.
