score,lanes,title,url,source,amountHint,dueDateHint,statusHint,geographyHint,entityHint,whyGoods,nextAction,crmSuggestion,riskFlags,foundVia
51,Government grants,First Nations Clean Energy Advice Grants Round 1 | business.gov.au,https://business.gov.au/grants-and-programs/first-nations-clean-energy-advice-grants,business.gov.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: First Nations, clean energy, clean energy advice, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Amount not found in sweep,source link: https://www.indigenous.gov.au/grants
49,Indigenous and business loans,Equipment Finance - Indigenous Business Australia - iba.gov.au,https://iba.gov.au/business/equipment-finance,iba.gov.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: Indigenous, equipment finance, indigenous, business","Check ownership/control requirements and structure the ask around equipment, working capital, buyer orders, and repayment source.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,search: IBA business finance social enterprise manufacturing equipment
49,Impact finance,Impact Investment Partners | ImpactIP | Australia,https://www.impactip.com.au,impactip.com.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: Indigenous, impact investment, impact","Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: impact investment Indigenous enterprise working capital Australia
47,Philanthropy,Community Support in Remote Queensland and the Northern Territory - Tim Fairfax Family Foundation,https://www.tfff.org.au/community-support-in-remote-queensland-and-the-northern-territory,tfff.org.au,Unknown,Unknown,Unknown,Northern Territory; Queensland; remote,Unknown,"Matched: remote, Northern Territory","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.tfff.org.au/
47,Philanthropy,Indigenous Grants,https://www.thegrantshub.com.au/blog/articles/indigenous-grants,thegrantshub.com.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: Indigenous,"Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Australia foundation grants First Nations remote communities social enterprise
47,Government grants,Social Enterprise Development Initiative - Department of Social Services,https://www.dss.gov.au/social-impact-investing/social-enterprise-development-initiative,dss.gov.au,"$120,000",Unknown,Unknown,Unknown,Business/social enterprise,Matched: social enterprise,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Amount not found in sweep,search: Australia grant remote First Nations social enterprise manufacturing | search: recoverable grant social enterprise Indigenous Australia | search: Australia foundation grants First Nations remote communities social enterprise | search: foundation impact investment social enterprise Australia First Nations
46,Indigenous and business loans,First Nations Finance | Australia's Indigenous Non-Bank Lender,https://firstnations.co,firstnations.co,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: First Nations, Indigenous, indigenous, business","Check ownership/control requirements and structure the ask around equipment, working capital, buyer orders, and repayment source.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: First Nations business finance Australia working capital equipment | search: Australia impact finance social enterprise First Nations manufacturing loan
46,Indigenous and business loans,Indigenous Business Australia (IBA) Equipment Finance - Grants.com.au,https://www.grants.com.au/grants/indigenous-business-australia-iba-equipment-finance,grants.com.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: Indigenous, equipment finance, indigenous, business","Check ownership/control requirements and structure the ask around equipment, working capital, buyer orders, and repayment source.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,search: IBA business finance social enterprise manufacturing equipment
46,Indigenous and business loans,Support for NT Aboriginal Businesses | Business NT,https://business.nt.gov.au/help-for-business/support-for-nt-aboriginal-businesses,business.nt.gov.au,Unknown,Unknown,Unknown,Northern Territory,Business/social enterprise,"Matched: Aboriginal, business","Check ownership/control requirements and structure the ask around equipment, working capital, buyer orders, and repayment source.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,search: Indigenous business loan remote community manufacturing Australia
46,Impact finance,White Box launches first-of-its-kind loan fund to fuel growth in social enterprises - Philanthropy Australia,https://www.philanthropy.org.au/news-and-stories/white-box-launches-first-of-its-kind-loan-fund-to-fuel-growth-in-social-enterprises,philanthropy.org.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: social enterprise, philanthropy","Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Australia social enterprise loan equipment finance
45,Philanthropy,"Tim Fairfax Family Foundation - Creating opportunities in rural, regional, and remote communities of Queensland and the Northern Territory",https://www.tfff.org.au,tfff.org.au,Unknown,Unknown,Unknown,Northern Territory; Queensland; remote; regional,Unknown,"Matched: remote, regional, Northern Territory","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source: https://www.tfff.org.au/ | source link: https://www.tfff.org.au/
44,Philanthropy,PRF Website,https://www.paulramsayfoundation.org.au,paulramsayfoundation.org.au,Unknown,Unknown,Unknown,remote; regional,First Nations-led/control,"Matched: First Nations, remote, regional","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep; Eligibility entity not found in sweep,source: https://www.paulramsayfoundation.org.au/ | source link: https://www.paulramsayfoundation.org.au/
44,Government grants,SEDI Grants,https://sedigrants.grantplatform.com,sedigrants.grantplatform.com,"$120,000",Unknown,Unknown,Unknown,Business/social enterprise,Matched: grants,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Australia grant remote First Nations social enterprise manufacturing | search: recoverable grant social enterprise Indigenous Australia
44,Buyer finance and procurement,Supply Nation | Australia's largest national directory of Indigenous businesses,https://www.supplynation.org.au,supplynation.org.au,Unknown,Unknown,Unknown,national,Business/social enterprise,"Matched: Aboriginal, Torres Strait, Indigenous","Turn into buyer pipeline work: target buyer, product fit, likely volume, procurement pathway, deposit or forward-order ask.",Notion Buyer/Demand register + GHL Buyer or Demand pipeline,Close date not found in sweep; Amount not found in sweep,source: https://www.supplynation.org.au/
43,Government grants,Grants directory | NT.GOV.AU - Northern Territory Government,https://nt.gov.au/community/grants-and-volunteers/grants/grants-directory,nt.gov.au,Unknown,Unknown,Unknown,Northern Territory,Business/social enterprise,"Matched: Northern Territory, government, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Northern Territory grant recycled plastic manufacturing First Nations
43,Government grants,GrantsNT,https://grantsnt.nt.gov.au,grantsnt.nt.gov.au,Unknown,Unknown,Unknown,Northern Territory,Unknown,"Matched: Northern Territory, government, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Northern Territory grant recycled plastic manufacturing First Nations
43,Impact finance,PDF I M P A C T F R A M E W O R K - firstaustralianscapital.org,https://firstaustralianscapital.org/wp-content/uploads/2024/12/FINAL-COPY-Indigenous-First-Impact-Framework-4-compressed.pdf,firstaustralianscapital.org,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: Indigenous, impact","Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: impact investment Indigenous enterprise working capital Australia
43,Impact finance,Social Enterprise Loan Fund - White Box Enterprises,https://whiteboxenterprises.com.au/innovate/self,whiteboxenterprises.com.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: social enterprise, finance","Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,source link: https://whiteboxenterprises.com.au/self/ | search: concessional loan social enterprise circular economy Australia | search: Australia social enterprise loan equipment finance
43,Indigenous and business loans,Start-Up Finance Package - Indigenous Business Australia,https://iba.gov.au/business/finance/start-finance-package,iba.gov.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: Indigenous, indigenous, business","Check ownership/control requirements and structure the ask around equipment, working capital, buyer orders, and repayment source.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,search: Indigenous business loan remote community manufacturing Australia
42,Philanthropy,PDF Philanthropy and Indigenous Initiatives: Insights From Australian Donors,https://opus.lib.uts.edu.au/bitstream/10453/185818/2/Aust%20J%20Social%20Issues%20-%202025%20-%20McEwen%20-%20Philanthropy%20and%20Indigenous%20Initiatives%20%20Insights%20From%20Australian%20Donors.pdf,opus.lib.uts.edu.au,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: Indigenous, philanthropy","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Australian philanthropy Indigenous enterprise circular economy manufacturing
41,Government grants,Current Grant Opportunity List: GrantConnect,https://www.grants.gov.au/Go/List?orderBy=Close+Date+%26+Time+-+Ascending&Keyword=indigenous&KeywordTypeSearch=AllWord,grants.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: Indigenous, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: site:grants.gov.au Aboriginal remote community manufacturing grant
41,Philanthropy,First Nations-Led Change: Best practice insights How can Australian philanthropy best support climate action? Here are key tips from experts and not-for-profit leaders mobilising at this critical moment.,https://communityfoundation.org.au/article/first-nations-led-change-best-practice-insights,communityfoundation.org.au,Unknown,Unknown,Unknown,Unknown,NFP; First Nations-led/control,"Matched: First Nations, philanthropy","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,source link: https://www.communityfoundation.org.au/
41,Indigenous and business loans,Help build the First Nations economy - First Australians Capital,https://firstaustralianscapital.org/help-build-the-first-nations-economy,firstaustralianscapital.org,$100M,Unknown,Unknown,Unknown,Business/social enterprise,Matched: First Nations,"Check ownership/control requirements and structure the ask around equipment, working capital, buyer orders, and repayment source.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: First Nations business finance Australia working capital equipment | search: impact investment Indigenous enterprise working capital Australia | search: foundation impact investment social enterprise Australia First Nations
40,Government grants,Aboriginal and Torres Strait Islander peoples | Your Career,https://www.yourcareer.gov.au/school-leavers-support/school-leavers-information-kit/aboriginal-torres-strait-islander-peoples,yourcareer.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: Aboriginal, Torres Strait","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.indigenous.gov.au/grants
40,Government grants,Aboriginal Investment NT | Backing Aboriginal-led development through ...,https://www.aboriginalinvestment.org.au,aboriginalinvestment.org.au,Unknown,Unknown,Unknown,Northern Territory,Business/social enterprise,Matched: Aboriginal,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Northern Territory grant recycled plastic manufacturing First Nations
40,Government grants,"First Nations Digital Inclusion | Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",https://www.infrastructure.gov.au/media-communications/first-nations-digital-inclusion,infrastructure.gov.au,Unknown,Unknown,Unknown,regional,Unknown,"Matched: First Nations, regional","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.indigenous.gov.au/grants
40,Government grants,Flags,https://www.indigenous.gov.au/moments-aboriginal-and-torres-strait-islander-flags,indigenous.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: Aboriginal, Indigenous","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.indigenous.gov.au/grants
40,Government grants,Grants for Aboriginal Businesses | NT,https://www.aboriginalinvestment.org.au/grants,aboriginalinvestment.org.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: Aboriginal, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Amount not found in sweep; Eligibility entity not found in sweep,search: Northern Territory grant recycled plastic manufacturing First Nations
40,Government grants,Indigenous.gov.au Connecting With First Nations Australians,https://www.indigenous.gov.au,indigenous.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: First Nations, Indigenous","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.indigenous.gov.au/grants
40,Government grants,Manufacturing industry grants,https://www.business.qld.gov.au/industries/manufacturing-retail/manufacturing/grant-programs,business.qld.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: manufacturing, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.business.qld.gov.au/starting-business/advice-support/grants
40,Impact finance,Not for profit finance and social enterprise lending | Bank Australia,https://www.bankaust.com.au/impact-finance/not-for-profit-finance-and-for-purpose-lending,bankaust.com.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: social enterprise, impact, finance","Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,search: concessional loan social enterprise circular economy Australia | search: Australia social enterprise loan equipment finance
40,Impact finance,Our Impact,https://www.impactnorth.org.au/our-impact,impactnorth.org.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Matched: impact,"Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Australia impact finance social enterprise First Nations manufacturing loan
40,Impact finance,Our Story,https://sefa.com.au/our-story,sefa.com.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Needs manual fit check.,"Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://sefa.com.au/access-impact-finance/ | search: Australia impact finance social enterprise First Nations manufacturing loan
40,Government grants,Regional Business Gateways Program,https://www.business.qld.gov.au/running-business/support-services/financial/grants/regional-business-gateways,business.qld.gov.au,Unknown,Unknown,Unknown,regional,Business/social enterprise,"Matched: regional, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Amount not found in sweep,source link: https://www.business.qld.gov.au/starting-business/advice-support/grants
39,"Equipment, circular economy and clean energy",Where we invest - Clean Energy Finance Corporation,https://www.cefc.com.au/where-we-invest,cefc.com.au,$10 b,Unknown,Unknown,Unknown,Unknown,"Matched: clean energy, clean, energy","Check whether the opportunity funds advice, capex, energy upgrade, recycling infrastructure, or buyer procurement; map to the plant budget.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source: https://www.cefc.com.au/where-we-invest/ | source link: https://www.cefc.com.au/where-we-invest/
38,Philanthropy,"Artlands 2026: A National Gathering for Regional Creative Futures Regional Arts Australia (RAA) is the national organisation for rural, regional, and remote arts. It delivers the Commonwealth&rsquo;s Regional Arts...",https://www.tfff.org.au/artlands-2026-a-national-gathering-for-regional-creative-futures,tfff.org.au,Unknown,Unknown,Unknown,remote; regional; national,Unknown,"Matched: remote, regional","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.tfff.org.au/
38,Philanthropy,"CEO Update: A Shared Commitment to Change Andrew reflects on the power of collaboration in philanthropy, lessons from recent conversations on gender equity and First Nations-led change, and updates on the evolution of the Impact Fund.",https://communityfoundation.org.au/article/ceo-update-june-2026,communityfoundation.org.au,Unknown,Unknown,Unknown,Unknown,First Nations-led/control,"Matched: First Nations, philanthropy","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,source link: https://www.communityfoundation.org.au/
38,Impact finance,For enterprises,https://impactinvestingaustralia.com/looking-for-funding-or-investors,impactinvestingaustralia.com,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Matched: impact,"Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep; Eligibility entity not found in sweep,source link: https://impactinvestingaustralia.com/ | search: foundation impact investment social enterprise Australia First Nations
38,Philanthropy,Indigenous Business Council,https://ibcouncil.org.au,ibcouncil.org.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Matched: Indigenous,"Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep; Eligibility entity not found in sweep,search: Australian philanthropy Indigenous enterprise circular economy manufacturing
38,Philanthropy,Peer Network Philanthropic advocacy as an ally to the social enterprise sector,https://philanthropy.org.au/whats-on/?event_type=43,philanthropy.org.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: social enterprise, philanthropy","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,source link: https://www.philanthropy.org.au/
38,Philanthropy,Philanthropy and Indigenous Initiatives: Insights From Australian ...,https://onlinelibrary.wiley.com/doi/full/10.1002/ajs4.70003,onlinelibrary.wiley.com,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: Indigenous, philanthropy","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Australian philanthropy Indigenous enterprise circular economy manufacturing
38,Philanthropy,Torres Strait Kaziw Meta Becomes First Certified Indigenous Boarding Facility in Australia Torres Strait Kaziw Meta (Kaziw Meta) is a boarding facility on Thursday Island for students in Years 7-12. It is...,https://www.tfff.org.au/torres-strait-kaziw-meta,tfff.org.au,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: Torres Strait, Indigenous","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.tfff.org.au/
37,Government grants,Environment and business,https://www.business.qld.gov.au/running-business/environment,business.qld.gov.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Matched: environment,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Amount not found in sweep,source link: https://www.business.qld.gov.au/starting-business/advice-support/grants
